Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
30000,-0.04493936,0.17143147,1.4167807,0.013386062,0.02754374,0.00029729668,1.4752489,0.36519182,0.61959964,0.42840576,842.0,4.156999804079533,4.156999804079533,10.121985137462616,1.0
40000,-0.042992786,0.31410623,1.4148514,0.0146455215,0.02364273,0.00029600222,1.1502349,0.32591358,0.6539204,0.42591825,999.0,-1.0000000447034836,-1.0000000447034836,9.288792463079576,1.0
50000,-0.050376683,0.417917,1.4132931,0.005864783,0.02179167,0.00029468897,1.0807106,0.31891406,0.66053486,0.43102673,430.0,4.569599911570549,4.569599911570549,7.311908960342407,1.0
60000,-0.038257714,0.53200865,1.4138615,0.022936022,0.026818784,0.0002934593,0.9643238,0.2929379,0.6877202,0.42462647,831.0,1.6684001833200455,1.6684001833200455,9.396486930549145,1.0
70000,-0.03970419,0.61241835,1.4145857,0.005439683,0.0239355,0.0002921556,0.98067,0.2945296,0.68988353,0.42891145,999.0,-1.0000000447034836,-1.0000000447034836,11.903933511211955,1.0
80000,-0.04817112,0.64625144,1.4140683,0.004725469,0.021570677,0.0002908577,0.90467435,0.2805459,0.7099198,0.42593303,999.0,-0.9994000419974327,-0.9994000419974327,13.18649509549141,1.0
90000,-0.051301446,0.726624,1.4136689,0.004839676,0.022710405,0.000289627,0.9001265,0.28517225,0.7105783,0.43393514,999.0,-0.9992000460624695,-0.9992000460624695,11.431323528289795,1.0
100000,-0.05902019,0.74991685,1.4126301,0.005517317,0.027696552,0.00028831564,0.91063,0.29037848,0.7078225,0.42134896,999.0,-1.0000000447034836,-1.0000000447034836,10.90718932847182,1.0
110000,-0.06723112,0.77549595,1.4105524,0.005695617,0.029188262,0.00028701773,0.8733263,0.28996134,0.714261,0.42436373,999.0,-0.9994000419974327,-0.9994000419974327,8.682493418455124,1.0
120000,-0.07760345,0.7894309,1.4086759,0.0037632773,0.026961097,0.00028578695,0.80921906,0.27193156,0.73651475,0.41551903,999.0,-0.9992000460624695,-0.9992000460624695,12.651672810316086,1.0
130000,-0.0785656,0.8852265,1.4085932,0.0073743532,0.021817865,0.00028447562,0.90114754,0.30263358,0.71522343,0.4272752,999.0,-1.0000000447034836,-1.0000000447034836,11.511496043701966,1.0
140000,-0.08039341,0.92518955,1.409811,None,None,None,None,None,None,None,None,None,None,None,1.0
150000,-0.0791884,0.9209072,1.4090264,0.005806184,0.02285186,0.00028317777,0.85069364,0.29329643,0.7259468,0.422946,999.0,-0.9993000440299511,-0.9993000440299511,10.77910515666008,1.0
160000,-0.08201449,0.95511514,1.4075063,0.00576653,0.020770214,0.00028194702,0.8267927,0.28592893,0.72938365,0.43025282,999.0,-1.0000000447034836,-1.0000000447034836,11.315252964198589,1.0
