Steps,Policy/GAIL Value Estimate,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/GAIL Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Is Training
40000,0.8274932,-0.032636743,1.4196695,999.0,-1.0000000447034836,61.82888441905379,-0.7999999783933163,0.42798373,0.021120733,0.00029866878,1.1653081,0.3142287,0.6340577,0.42860243,1.0
50000,1.1252018,-0.03995721,1.4180366,None,None,None,None,0.37787193,0.024940895,0.00029822846,1.0469943,0.30195242,0.6519455,0.42812967,1.0
60000,1.3826548,-0.035504866,1.4152035,None,None,None,None,0.33560523,0.024172112,0.0002977677,0.9837991,0.28776243,0.675274,0.41897917,1.0
70000,1.6528611,-0.04193745,1.4129089,999.0,-1.0000000447034836,75.71092023327947,-0.7999999783933163,0.28989577,0.021225788,0.0002973069,0.9646419,0.29190227,0.68141437,0.42401648,1.0
80000,1.917471,-0.049814425,1.4106555,None,None,None,None,0.27844566,0.024258623,0.00029686658,0.92483395,0.2850977,0.69385976,0.42044768,1.0
90000,2.3404336,-0.055829298,1.4106886,719.0,4.280600033700466,64.58818650245667,3.4244799725711346,0.31244382,0.027553696,0.00029645636,0.9208606,0.2928338,0.69221675,0.42073873,1.0
100000,2.6797664,-0.061949197,1.4120433,996.6774193548387,-0.8363871281185458,73.9216636342387,-0.6691096545227112,0.32440773,0.026166577,0.00029602303,0.94047993,0.30235773,0.6898741,0.42631507,1.0
110000,2.94123,-0.055700608,1.4124429,473.0,4.526599816977978,49.62076807022095,3.6212800703942776,None,None,None,None,None,None,None,1.0
120000,3.20645,-0.056388795,1.4123647,999.0,-0.9994000419974327,71.58570194244385,-0.7995199784636497,0.16447161,0.023432188,0.0002955894,0.84591573,0.2761885,0.71727675,0.42643324,1.0
130000,3.5322573,-0.04569453,1.411021,999.0,-1.0000000447034836,77.32247902154923,-0.7999999783933163,0.32132593,0.024234619,0.00029517815,0.85827243,0.2872678,0.719168,0.0,1.0
140000,3.5797546,-0.03880382,1.4099298,253.5,4.881199963390827,31.058652877807617,3.9049598313868046,0.34595072,0.024805687,0.0002947414,0.9109316,0.30487052,0.69841677,0.0,1.0
